filename,artist,subset
Abstract_Expressionism/aaron-siskind_gloucester-16a-1944.jpg,aaron siskind,train
Abstract_Expressionism/aaron-siskind_kentucky-4-1951.jpg,aaron siskind,train
Abstract_Expressionism/aaron-siskind_per-400-1983.jpg,aaron siskind,train
Abstract_Expressionism/aaron-siskind_westport-10-1988.jpg,aaron siskind,train
Abstract_Expressionism/ad-reinhardt_number-6-1946.jpg,ad reinhardt,train
Abstract_Expressionism/adnan-coker_unknown-title(3).jpg,adnan coker,train
Abstract_Expressionism/aki-kuroda_first-night-i-1979.jpg,aki kuroda,train
Abstract_Expressionism/aki-kuroda_untitled-1987.jpg,aki kuroda,train
Abstract_Expressionism/alexander-calder_man-1967.jpg,alexander calder,train
Abstract_Expressionism/alice-baber_green-swing.jpg,alice baber,train
Abstract_Expressionism/alice-baber_lord-of-the-rainbow-1976.jpg,alice baber,train
Abstract_Expressionism/alice-baber_noble-numbers-1965.jpg,alice baber,train
Abstract_Expressionism/alice-baber_wheel-of-day-1971.jpg,alice baber,train
Abstract_Expressionism/alma-woodsey-thomas_untitled-floral-abstraction-1970.jpg,alma woodsey thomas,train
Abstract_Expressionism/andy-warhol_oxidation-painting-1978-1.jpg,andy warhol,train
Abstract_Expressionism/andy-warhol_oxidation-painting-1978.jpg,andy warhol,train
Abstract_Expressionism/arshile-gorky_untitled-1948.jpg,arshile gorky,train
Abstract_Expressionism/arthur-pinajian_untitled-landscape-bellport-no-224-1989.jpg,arthur pinajian,train
Abstract_Expressionism/arthur-pinajian_untitled-landscape-bellport-no-256-1990.jpg,arthur pinajian,train
Abstract_Expressionism/arthur-pinajian_untitled-landscape-bellport-no-257-1987.jpg,arthur pinajian,train
Abstract_Expressionism/arthur-pinajian_untitled-landscape-bellport-no-347-1982.jpg,arthur pinajian,train
Abstract_Expressionism/arthur-pinajian_untitled-landscape-woodstock-no-414-1964.jpg,arthur pinajian,train
Abstract_Expressionism/atsuko-tanaka_77r-84-1984.jpg,atsuko tanaka,train
Abstract_Expressionism/atsuko-tanaka_89a-1989.jpg,atsuko tanaka,train
Abstract_Expressionism/atsuko-tanaka_untitled-1.jpg,atsuko tanaka,train
Abstract_Expressionism/atsuko-tanaka_untitled-1964.jpg,atsuko tanaka,train
Abstract_Expressionism/atsuko-tanaka_untitled-1976.jpg,atsuko tanaka,train
Abstract_Expressionism/barnett-newman_untitled-1945.jpg,barnett newman,train
Abstract_Expressionism/barnett-newman_untitled-red-yellow-and-green-forms-on-a-purple-ground.jpg,barnett newman,train
Abstract_Expressionism/basil-beattie_imagine-if-1993.jpg,basil beattie,train
Abstract_Expressionism/basil-beattie_jarrow-wine-1985.jpg,basil beattie,train
Abstract_Expressionism/basil-beattie_loose-ends-1998.jpg,basil beattie,train
Abstract_Expressionism/basil-beattie_untitled-drawing-2002-1.jpg,basil beattie,train
Abstract_Expressionism/basil-beattie_witness-v-1992.jpg,basil beattie,train
Abstract_Expressionism/betty-parsons_the-moth-1969.jpg,betty parsons,train
Abstract_Expressionism/betty-parsons_totem-materia.jpg,betty parsons,train
Abstract_Expressionism/betty-parsons_untitled(1).jpg,betty parsons,train
Abstract_Expressionism/betty-parsons_untitled-1950.jpg,betty parsons,train
Abstract_Expressionism/betty-parsons_untitled-abstraction(3).jpg,betty parsons,train
Abstract_Expressionism/betty-parsons_untitled-abstraction(4).jpg,betty parsons,train
Abstract_Expressionism/betty-parsons_untitled-abstraction.jpg,betty parsons,train
Abstract_Expressionism/betty-parsons_untitled.jpg,betty parsons,train
Abstract_Expressionism/betty-parsons_yield-1975.jpg,betty parsons,train
Abstract_Expressionism/blinky-palermo_blau-auf-gr-n-1965.jpg,blinky palermo,train
Abstract_Expressionism/blinky-palermo_coney-island-ii-1975.jpg,blinky palermo,train
Abstract_Expressionism/bradley-walker-tomlin_all-souls-night-1947.jpg,bradley walker tomlin,train
Abstract_Expressionism/bradley-walker-tomlin_number-1-1952.jpg,bradley walker tomlin,train
Abstract_Expressionism/bradley-walker-tomlin_number-13-1952.jpg,bradley walker tomlin,train
Abstract_Expressionism/bradley-walker-tomlin_number-15-1953.jpg,bradley walker tomlin,train
Abstract_Expressionism/bradley-walker-tomlin_number-2-1950.jpg,bradley walker tomlin,train
Abstract_Expressionism/bradley-walker-tomlin_number-20-1949.jpg,bradley walker tomlin,train
Abstract_Expressionism/bradley-walker-tomlin_number-3-1948.jpg,bradley walker tomlin,train
Abstract_Expressionism/brett-whiteley_untitled-red-painting-1960.jpg,brett whiteley,train
Abstract_Expressionism/brice-marden_don-t-bungle-the-jungle-1989.jpg,brice marden,train
Abstract_Expressionism/brice-marden_eagles-mere-set-5-1997.jpg,brice marden,train
Abstract_Expressionism/brice-marden_muses-and-meres-series-richard-s-muse-2001.jpg,brice marden,train
Abstract_Expressionism/brice-marden_nevis-rock-2008.jpg,brice marden,train
Abstract_Expressionism/brice-marden_nevisian-triptych-2008.jpg,brice marden,train
Abstract_Expressionism/brice-marden_post-calligraphic-drawing-1998.jpg,brice marden,train
Abstract_Expressionism/brice-marden_red-window-study.jpg,brice marden,train
Abstract_Expressionism/brice-marden_second-letter-zen-spring-2009.jpg,brice marden,train
Abstract_Expressionism/brice-marden_st-barts-1-1991.jpg,brice marden,train
Abstract_Expressionism/brice-marden_suicide-note-1973.jpg,brice marden,train
Abstract_Expressionism/brice-marden_suicide-notes-1972.jpg,brice marden,train
Abstract_Expressionism/brice-marden_third-letter-2009.jpg,brice marden,train
Abstract_Expressionism/brice-marden_untitled-press-series-1972-1.jpg,brice marden,train
Abstract_Expressionism/conrad-marca-relli_fortune-teller.jpg,conrad marca relli,train
Abstract_Expressionism/conrad-marca-relli_image-no-9-1969.jpg,conrad marca relli,train
Abstract_Expressionism/conrad-marca-relli_steel-grey-1959.jpg,conrad marca relli,train
Abstract_Expressionism/conrad-marca-relli_the-woman-of-samura-1958.jpg,conrad marca relli,train
Abstract_Expressionism/conrad-marca-relli_untitled-1.jpg,conrad marca relli,train
Abstract_Expressionism/conrad-marca-relli_untitled-1955.jpg,conrad marca relli,train
Abstract_Expressionism/conrad-marca-relli_untitled-4.jpg,conrad marca relli,train
Abstract_Expressionism/conrad-marca-relli_untitled.jpg,conrad marca relli,train
Abstract_Expressionism/craig-kauffman_caroline-s-rickets-1975.jpg,craig kauffman,train
Abstract_Expressionism/craig-kauffman_untitled-1958.jpg,craig kauffman,train
Abstract_Expressionism/cy-twombly_camino-real-ii.jpg,cy twombly,train
Abstract_Expressionism/cy-twombly_coronation-of-sesostris-1.jpg,cy twombly,train
Abstract_Expressionism/cy-twombly_ferragosto-v.jpg,cy twombly,train
Abstract_Expressionism/cy-twombly_hero-and-leandro-a-painting-in-four-parts-part-iii.jpg,cy twombly,train
Abstract_Expressionism/cy-twombly_ides-of-march.jpg,cy twombly,train
Abstract_Expressionism/cy-twombly_leda-and-the-swan-1.jpg,cy twombly,train
Abstract_Expressionism/cy-twombly_leda-and-the-swan.jpg,cy twombly,train
Abstract_Expressionism/cy-twombly_min-oe.jpg,cy twombly,train
